energy_type,candidate_name,region,latitude,longitude,final_score,weather_resource_score,grid_connection_score,gir_evidence_score,interpolation_confidence,distance_to_transmission_km,mean_wind_speed_100m_ms,p90_wind_speed_100m_ms,total_shortwave_radiation_kwh_m2,total_sunshine_hours,nearest_weather_point,nearest_weather_distance_km,gir_mentions_nearby,gir_evidence_titles,candidate_source,score_formula,rank
wind,Makara,Wellington,-41.223,174.706,85.0,100.0,100.0,0.0,100.0,0.68,9.297,15.25,3144.798,6632.88,Makara,0.0,0,,weather_point,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,1
wind,Makara - Ohariu Valley corridor,Wellington,-41.2035,174.7375,84.2,98.8,100.0,0.0,97.8,2.38,9.038,14.723,3088.9,6600.69,Makara,3.41,0,,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,2
wind,Ohariu Valley,Wellington,-41.184,174.769,83.8,97.9,100.0,0.0,100.0,3.94,8.811,14.23,3033.017,6568.2,Ohariu Valley,0.0,0,,weather_point,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,3
wind,Bluff,Southland,-46.6,168.333,76.6,92.3,83.2,0.0,100.0,30.1,8.303,14.22,2591.664,5866.03,Bluff,0.0,0,,weather_point,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,4
wind,Riverton - Waipapa Point corridor,Southland,-46.505,168.4285,76.4,88.2,93.7,0.0,89.4,17.53,7.939,13.68,2564.775,5814.21,Bluff,12.84,0,,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,5
wind,Gore - Oban Stewart Island corridor,Southland,-46.4995,168.537,76.2,86.3,98.3,0.0,83.6,12.01,7.764,13.394,2546.777,5781.7,Bluff,19.19,0,,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,6
wind,Martinborough - Makara corridor,Wellington,-41.221,175.0825,75.3,85.6,97.6,0.0,77.0,12.93,7.769,13.327,3044.259,6518.73,Ohariu Valley,26.55,0,,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,7
wind,Martinborough - Ohariu Valley corridor,Wellington,-41.2015,175.114,74.4,84.0,97.7,0.0,74.9,12.78,7.618,13.152,3029.89,6485.7,Martinborough,28.93,0,,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,8
wind,Bluff - Waipapa Point corridor,Southland,-46.63,168.5865,74.1,87.6,87.1,0.0,83.2,25.45,7.885,13.457,2528.815,5741.79,Waipapa Point,19.64,0,,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,9
wind,Waipapa Point,Southland,-46.66,168.84,73.9,88.9,79.9,0.0,100.0,34.1,8.0,13.32,2496.213,5692.8,Waipapa Point,0.0,0,,weather_point,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,10
solar,Rangiora - Darfield corridor,Canterbury,-43.3965,172.3535,71.9,68.4,99.3,35.8,81.1,10.8,5.619,10.068,3000.119,6430.52,Darfield,22.04,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,1
solar,Amberley - Darfield corridor,Canterbury,-43.322,172.421,71.7,69.3,95.7,35.1,88.1,15.14,5.502,10.136,3040.217,6516.01,Rangiora,14.22,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,2
solar,Darfield,Canterbury,-43.489,172.112,71.3,67.0,100.0,29.9,100.0,5.94,6.149,10.29,2940.413,6291.48,Darfield,0.0,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,weather_point,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,3
solar,Rangiora - Methven corridor,Canterbury,-43.4685,172.1205,71.3,67.0,100.0,30.0,98.8,6.83,6.134,10.276,2940.822,6292.82,Darfield,2.38,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,4
solar,Amberley - Methven corridor,Canterbury,-43.394,172.188,71.2,67.4,100.0,31.1,89.9,2.51,5.883,10.096,2955.478,6330.8,Darfield,12.22,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,5
solar,Rangiora - Ashburton corridor,Canterbury,-43.604,172.172,71.1,67.1,100.0,31.6,88.6,6.4,5.78,9.926,2945.93,6318.73,Darfield,13.67,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,6
solar,Rangiora,Canterbury,-43.304,172.595,70.1,70.2,84.3,36.4,100.0,28.86,5.382,10.1,3079.187,6596.7,Rangiora,0.0,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,weather_point,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,7
solar,Culverden - Darfield corridor,Canterbury,-43.1295,172.481,69.8,69.0,94.0,28.4,82.6,17.2,5.629,10.385,3025.402,6485.57,Amberley,20.4,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,8
solar,Raglan - Huntly corridor,Waikato,-37.6785,175.0155,69.5,73.2,100.0,0.0,84.3,3.75,6.147,10.474,3210.978,6870.9,Raglan,18.49,0,,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,9
solar,Raglan,Waikato,-37.8,174.872,69.4,75.2,92.2,0.0,100.0,19.38,6.591,11.36,3299.173,6910.33,Raglan,0.0,0,,weather_point,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,10
