energy_type,candidate_name,region,latitude,longitude,final_score,weather_resource_score,grid_connection_score,gir_evidence_score,interpolation_confidence,distance_to_transmission_km,mean_wind_speed_100m_ms,p90_wind_speed_100m_ms,total_shortwave_radiation_kwh_m2,total_sunshine_hours,nearest_weather_point,nearest_weather_distance_km,gir_mentions_nearby,gir_evidence_titles,candidate_source,score_formula,rank
wind,Makara,Wellington,-41.223,174.706,85.0,100.0,100.0,0.0,100.0,0.68,9.274,15.05,1601.953,3396.86,Makara,0.0,0,,weather_point,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,1
wind,Makara - Ohariu Valley corridor,Wellington,-41.2035,174.7375,84.5,99.2,100.0,0.0,97.8,2.38,9.064,14.617,1571.623,3382.63,Makara,3.41,0,,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,2
wind,Ohariu Valley,Wellington,-41.184,174.769,84.3,98.8,100.0,0.0,100.0,3.94,8.889,14.22,1541.45,3368.87,Ohariu Valley,0.0,0,,weather_point,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,3
wind,Bluff,Southland,-46.6,168.333,78.8,96.3,83.2,0.0,100.0,30.1,8.663,14.7,1247.267,2786.11,Bluff,0.0,0,,weather_point,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,4
wind,Riverton - Waipapa Point corridor,Southland,-46.505,168.4285,78.3,91.6,93.7,0.0,89.4,17.53,8.245,14.109,1233.414,2761.76,Bluff,12.84,0,,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,5
wind,Gore - Oban Stewart Island corridor,Southland,-46.4995,168.537,77.8,89.2,98.3,0.0,83.6,12.01,8.03,13.778,1223.695,2746.89,Bluff,19.19,0,,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,6
wind,Bluff - Waipapa Point corridor,Southland,-46.63,168.5865,75.6,90.3,87.1,0.0,83.2,25.45,8.125,13.81,1213.106,2725.1,Waipapa Point,19.64,0,,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,7
wind,Martinborough - Makara corridor,Wellington,-41.221,175.0825,75.1,85.3,97.6,0.0,77.0,12.93,7.735,13.174,1542.781,3322.97,Ohariu Valley,26.55,0,,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,8
wind,Waipapa Point,Southland,-46.66,168.84,74.9,90.7,79.9,0.0,100.0,34.1,8.161,13.61,1191.803,2699.39,Waipapa Point,0.0,0,,weather_point,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,9
wind,Martinborough - Ohariu Valley corridor,Wellington,-41.2015,175.114,74.2,83.6,97.7,0.0,74.9,12.78,7.58,12.999,1533.95,3303.34,Martinborough,28.93,0,,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,10
solar,Rangiora - Darfield corridor,Canterbury,-43.3965,172.3535,72.0,68.7,99.3,35.8,81.1,10.8,5.444,9.732,1509.0,3222.91,Darfield,22.04,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,1
solar,Amberley - Darfield corridor,Canterbury,-43.322,172.421,71.9,69.6,95.7,35.1,88.1,15.14,5.338,9.804,1527.87,3261.63,Rangiora,14.22,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,2
solar,Darfield,Canterbury,-43.489,172.112,71.6,67.4,100.0,29.9,100.0,5.94,5.925,9.9,1480.707,3154.89,Darfield,0.0,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,weather_point,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,3
solar,Rangiora - Methven corridor,Canterbury,-43.4685,172.1205,71.5,67.4,100.0,30.0,98.8,6.83,5.911,9.887,1480.897,3155.66,Darfield,2.38,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,4
solar,Amberley - Methven corridor,Canterbury,-43.394,172.188,71.4,67.7,100.0,31.1,89.9,2.51,5.679,9.732,1487.88,3175.72,Darfield,12.22,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,5
solar,Rangiora - Ashburton corridor,Canterbury,-43.604,172.172,71.3,67.5,100.0,31.6,88.6,6.4,5.576,9.563,1482.816,3170.54,Darfield,13.67,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,6
solar,Rangiora,Canterbury,-43.304,172.595,70.3,70.4,84.3,36.4,100.0,28.86,5.205,9.72,1545.902,3296.26,Rangiora,0.0,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,weather_point,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,7
solar,Makara,Wellington,-41.223,174.706,70.1,72.9,100.0,0.0,100.0,0.68,9.274,15.05,1601.953,3396.86,Makara,0.0,0,,weather_point,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,8
solar,Culverden - Darfield corridor,Canterbury,-43.1295,172.481,70.0,69.3,94.0,28.4,82.6,17.2,5.503,10.143,1521.21,3249.23,Amberley,20.4,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,9
