energy_type,candidate_name,region,latitude,longitude,final_score,weather_resource_score,grid_connection_score,gir_evidence_score,interpolation_confidence,distance_to_transmission_km,mean_wind_speed_100m_ms,p90_wind_speed_100m_ms,total_shortwave_radiation_kwh_m2,total_sunshine_hours,nearest_weather_point,nearest_weather_distance_km,gir_mentions_nearby,gir_evidence_titles,candidate_source,score_formula,rank
solar,Rangiora - Darfield corridor,Canterbury,-43.3965,172.3535,72.0,68.7,99.3,35.8,81.1,10.8,5.444,9.732,1509.0,3222.91,Darfield,22.04,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,1
solar,Amberley - Darfield corridor,Canterbury,-43.322,172.421,71.9,69.6,95.7,35.1,88.1,15.14,5.338,9.804,1527.87,3261.63,Rangiora,14.22,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,2
solar,Darfield,Canterbury,-43.489,172.112,71.6,67.4,100.0,29.9,100.0,5.94,5.925,9.9,1480.707,3154.89,Darfield,0.0,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,weather_point,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,3
solar,Rangiora - Methven corridor,Canterbury,-43.4685,172.1205,71.5,67.4,100.0,30.0,98.8,6.83,5.911,9.887,1480.897,3155.66,Darfield,2.38,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,4
solar,Amberley - Methven corridor,Canterbury,-43.394,172.188,71.4,67.7,100.0,31.1,89.9,2.51,5.679,9.732,1487.88,3175.72,Darfield,12.22,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,5
solar,Rangiora - Ashburton corridor,Canterbury,-43.604,172.172,71.3,67.5,100.0,31.6,88.6,6.4,5.576,9.563,1482.816,3170.54,Darfield,13.67,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,6
solar,Rangiora,Canterbury,-43.304,172.595,70.3,70.4,84.3,36.4,100.0,28.86,5.205,9.72,1545.902,3296.26,Rangiora,0.0,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,weather_point,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,7
solar,Makara,Wellington,-41.223,174.706,70.1,72.9,100.0,0.0,100.0,0.68,9.274,15.05,1601.953,3396.86,Makara,0.0,0,,weather_point,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,8
solar,Culverden - Darfield corridor,Canterbury,-43.1295,172.481,70.0,69.3,94.0,28.4,82.6,17.2,5.503,10.143,1521.21,3249.23,Amberley,20.4,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,9
solar,Darfield - Ashburton corridor,Canterbury,-43.6965,171.9305,69.3,67.0,100.0,23.3,79.4,0.43,4.677,8.454,1472.029,3179.45,Methven,23.95,1,Contact Energy boss says risk of New Zealand running out of power this winter eases,idw_midpoint,55% resource + 25% transmission proximity + 15% GIR evidence + 5% interpolation confidence,10
