place_name,region,latitude,longitude,start_date,end_date,hour_count,mean_wind_speed_10m_ms,mean_wind_speed_100m_ms,p90_wind_speed_100m_ms,max_wind_gust_10m_ms,mean_shortwave_radiation_wm2,total_shortwave_radiation_kwh_m2,total_sunshine_hours,wind_resource_score,solar_resource_score
Cape Reinga,Northland,-34.426,172.681,2024-01-01,2025-12-31,17544,5.326,7.797,12.62,33.4,195.709,3433.515,7150.06,86.6,78.3
Kaitaia,Northland,-35.1149,173.2627,2024-01-01,2025-12-31,17544,4.257,6.816,11.15,27.0,192.386,3375.223,7047.16,75.7,77.0
Ahipara,Northland,-35.166,173.154,2024-01-01,2025-12-31,17544,5.113,7.522,12.15,29.3,189.056,3316.8,6886.19,83.6,75.6
Kaikohe,Northland,-35.407,173.802,2024-01-01,2025-12-31,17544,3.635,5.916,10.15,25.0,180.378,3164.554,6699.53,65.7,72.2
Dargaville,Northland,-35.933,173.883,2024-01-01,2025-12-31,17544,4.655,7.235,11.86,30.3,189.525,3325.03,7051.5,80.4,75.8
Marsden Point,Northland,-35.842,174.5,2024-01-01,2025-12-31,17544,4.693,7.014,11.29,28.8,188.901,3314.084,7051.93,77.9,75.6
Whangarei Heads,Northland,-35.816,174.537,2024-01-01,2025-12-31,17544,4.693,7.014,11.29,28.8,188.901,3314.084,7051.93,77.9,75.6
Wellsford,Auckland,-36.293,174.522,2024-01-01,2025-12-31,17544,4.215,6.998,11.12,23.5,183.593,3220.964,6893.53,77.8,73.4
Warkworth,Auckland,-36.397,174.664,2024-01-01,2025-12-31,17544,4.231,6.865,11.02,24.7,189.229,3319.835,7085.46,76.3,75.7
Helensville,Auckland,-36.678,174.45,2024-01-01,2025-12-31,17544,4.445,7.18,11.51,25.3,184.675,3239.934,6974.1,79.8,73.9
Waiuku,Auckland,-37.248,174.734,2024-01-01,2025-12-31,17544,4.386,7.061,11.41,25.6,181.373,3182.014,6745.69,78.5,72.5
Great Barrier Island,Auckland,-36.2,175.415,2024-01-01,2025-12-31,17544,5.282,7.793,12.52,32.2,201.754,3539.567,7236.68,86.6,80.7
Raglan,Waikato,-37.8,174.872,2024-01-01,2025-12-31,17544,4.281,6.591,11.36,34.1,188.051,3299.173,6910.33,73.2,75.2
Huntly,Waikato,-37.557,175.159,2024-01-01,2025-12-31,17544,3.713,6.031,10.04,23.5,179.389,3147.203,6857.98,67.0,71.8
Te Awamutu,Waikato,-38.008,175.325,2024-01-01,2025-12-31,17544,2.883,4.755,8.77,22.9,179.107,3142.251,6863.51,52.8,71.6
Tokoroa,Waikato,-38.221,175.871,2024-01-01,2025-12-31,17544,3.489,5.891,9.68,23.5,177.714,3117.821,6698.7,65.5,71.1
Matamata,Waikato,-37.81,175.773,2024-01-01,2025-12-31,17544,2.937,4.974,8.98,21.1,181.04,3176.172,6765.45,55.3,72.4
Hauraki Plains,Waikato,-37.35,175.55,2024-01-01,2025-12-31,17544,3.083,5.126,9.27,22.4,179.967,3157.345,6882.73,57.0,72.0
Whakatane,Bay of Plenty,-37.953,176.99,2024-01-01,2025-12-31,17544,3.178,5.187,8.73,30.8,188.92,3314.416,6995.82,57.6,75.6
Kawerau,Bay of Plenty,-38.1,176.7,2024-01-01,2025-12-31,17544,2.567,4.528,8.0,22.6,180.409,3165.1,6841.09,50.3,72.2
Opotiki,Bay of Plenty,-38.009,177.287,2024-01-01,2025-12-31,17544,3.522,5.451,9.97,29.3,184.328,3233.845,6868.56,60.6,73.7
Te Puke,Bay of Plenty,-37.786,176.325,2024-01-01,2025-12-31,17544,3.375,5.65,9.39,28.9,185.973,3262.707,6963.79,62.8,74.4
Murupara,Bay of Plenty,-38.467,176.707,2024-01-01,2025-12-31,17544,2.519,4.502,7.95,24.4,173.429,3042.63,6393.56,50.0,69.4
East Cape,Gisborne,-37.69,178.55,2024-01-01,2025-12-31,17544,5.051,7.754,13.0,33.6,177.985,3122.563,6665.39,86.2,71.2
Ruatoria,Gisborne,-37.892,178.319,2024-01-01,2025-12-31,17544,3.281,5.356,9.87,34.6,177.507,3114.189,6507.58,59.5,71.0
Tolaga Bay,Gisborne,-38.372,178.298,2024-01-01,2025-12-31,17544,3.965,6.352,11.17,29.6,182.355,3199.237,6788.04,70.6,72.9
Wairoa,Hawke's Bay,-39.033,177.367,2024-01-01,2025-12-31,17544,4.119,6.333,10.74,25.8,178.912,3138.83,6660.22,70.4,71.6
Mahia Peninsula,Hawke's Bay,-39.1,177.9,2024-01-01,2025-12-31,17544,4.565,6.971,12.01,29.9,189.526,3325.039,6932.57,77.5,75.8
Waipukurau,Hawke's Bay,-39.995,176.557,2024-01-01,2025-12-31,17544,3.685,5.799,10.75,28.2,172.512,3026.557,6536.2,64.4,69.0
Central Hawke's Bay,Hawke's Bay,-40.05,176.45,2024-01-01,2025-12-31,17544,3.662,5.831,10.85,29.3,172.181,3020.748,6451.46,64.8,68.9
Cape Egmont,Taranaki,-39.278,173.754,2024-01-01,2025-12-31,17544,5.12,7.699,13.78,30.6,181.44,3183.182,6750.12,85.5,72.6
Stratford,Taranaki,-39.338,174.284,2024-01-01,2025-12-31,17544,3.85,5.844,11.58,26.7,164.26,2881.773,6486.45,64.9,65.7
Hawera,Taranaki,-39.592,174.284,2024-01-01,2025-12-31,17544,4.872,7.444,12.7,32.6,177.8,3119.323,6804.38,82.7,71.1
Foxton,Manawatu,-40.472,175.286,2024-01-01,2025-12-31,17544,4.254,6.483,12.34,26.9,183.724,3223.252,6873.5,72.0,73.5
Pahiatua,Manawatu,-40.452,175.84,2024-01-01,2025-12-31,17544,4.228,6.977,12.43,27.6,162.06,2843.175,6341.47,77.5,64.8
Dannevirke,Manawatu,-40.208,176.1,2024-01-01,2025-12-31,17544,4.046,6.479,12.19,27.3,163.772,2873.218,6297.53,72.0,65.5
Masterton,Wellington,-40.951,175.658,2024-01-01,2025-12-31,17544,2.964,4.695,9.12,32.3,157.181,2757.585,5890.51,52.2,62.9
Martinborough,Wellington,-41.219,175.459,2024-01-01,2025-12-31,17544,3.698,5.874,10.96,29.5,167.891,2945.472,6272.15,65.3,67.2
Cape Palliser,Wellington,-41.612,175.291,2024-01-01,2025-12-31,17544,5.566,8.398,15.28,45.2,177.838,3119.982,6756.2,93.3,71.1
