place_name,latitude,longitude
Auckland,-36.8509,174.7645
Bay of Plenty,-37.6878,176.1651
Canterbury,-43.7542,171.1637
Central Otago,-45.1300,169.6000
Christchurch,-43.5321,172.6362
Dunedin,-45.8788,170.5028
Gisborne,-38.6623,178.0176
Hamilton,-37.7870,175.2793
Hastings,-39.6381,176.8492
Hawke's Bay,-39.4928,176.9120
Invercargill,-46.4132,168.3538
Manawatu,-40.3523,175.6082
Marlborough,-41.5917,173.7624
Napier,-39.4928,176.9120
Nelson,-41.2706,173.2840
New Plymouth,-39.0556,174.0752
Northland,-35.5795,173.7624
Otago,-45.4791,170.1548
Palmerston North,-40.3523,175.6082
Queenstown,-45.0312,168.6626
Rotorua,-38.1368,176.2497
Southland,-46.4132,168.3538
Taranaki,-39.3538,174.4383
Tasman,-41.3010,172.6740
Taupo,-38.6857,176.0702
Tauranga,-37.6878,176.1651
Waikato,-37.6191,175.0233
Wellington,-41.2865,174.7762
West Coast,-42.4064,171.6912
Whangarei,-35.7251,174.3237
