place_name,latitude,longitude,region
Cape Reinga,-34.4260,172.6810,Northland
Kaitaia,-35.1149,173.2627,Northland
Ahipara,-35.1660,173.1540,Northland
Kaikohe,-35.4070,173.8020,Northland
Dargaville,-35.9330,173.8830,Northland
Marsden Point,-35.8420,174.5000,Northland
Whangarei Heads,-35.8160,174.5370,Northland
Wellsford,-36.2930,174.5220,Auckland
Warkworth,-36.3970,174.6640,Auckland
Helensville,-36.6780,174.4500,Auckland
Waiuku,-37.2480,174.7340,Auckland
Great Barrier Island,-36.2000,175.4150,Auckland
Raglan,-37.8000,174.8720,Waikato
Huntly,-37.5570,175.1590,Waikato
Te Awamutu,-38.0080,175.3250,Waikato
Tokoroa,-38.2210,175.8710,Waikato
Matamata,-37.8100,175.7730,Waikato
Hauraki Plains,-37.3500,175.5500,Waikato
Whakatane,-37.9530,176.9900,Bay of Plenty
Kawerau,-38.1000,176.7000,Bay of Plenty
Opotiki,-38.0090,177.2870,Bay of Plenty
Te Puke,-37.7860,176.3250,Bay of Plenty
Murupara,-38.4670,176.7070,Bay of Plenty
East Cape,-37.6900,178.5500,Gisborne
Ruatoria,-37.8920,178.3190,Gisborne
Tolaga Bay,-38.3720,178.2980,Gisborne
Wairoa,-39.0330,177.3670,Hawke's Bay
Mahia Peninsula,-39.1000,177.9000,Hawke's Bay
Waipukurau,-39.9950,176.5570,Hawke's Bay
Central Hawke's Bay,-40.0500,176.4500,Hawke's Bay
Cape Egmont,-39.2780,173.7540,Taranaki
Stratford,-39.3380,174.2840,Taranaki
Hawera,-39.5920,174.2840,Taranaki
Foxton,-40.4720,175.2860,Manawatu
Pahiatua,-40.4520,175.8400,Manawatu
Dannevirke,-40.2080,176.1000,Manawatu
Masterton,-40.9510,175.6580,Wellington
Martinborough,-41.2190,175.4590,Wellington
Cape Palliser,-41.6120,175.2910,Wellington
Castlepoint,-40.9020,176.2220,Wellington
Makara,-41.2230,174.7060,Wellington
Ohariu Valley,-41.1840,174.7690,Wellington
Takaka,-40.8580,172.8060,Tasman
Motueka,-41.1240,173.0090,Tasman
Murchison,-41.8010,172.3330,Tasman
Ward,-41.8270,174.1310,Marlborough
Seddon,-41.6700,174.0700,Marlborough
Awatere Valley,-41.7500,174.0000,Marlborough
Cape Campbell,-41.7300,174.2760,Marlborough
Kaikoura,-42.4010,173.6810,Canterbury
Hanmer Springs,-42.5240,172.8290,Canterbury
Culverden,-42.7700,172.8500,Canterbury
Amberley,-43.1550,172.7300,Canterbury
Rangiora,-43.3040,172.5950,Canterbury
Darfield,-43.4890,172.1120,Canterbury
Ashburton,-43.9040,171.7490,Canterbury
Methven,-43.6330,171.6460,Canterbury
Geraldine,-44.0920,171.2440,Canterbury
Fairlie,-44.1010,170.8280,Canterbury
Tekapo,-44.0040,170.4770,Canterbury
Twizel,-44.2600,170.1000,Canterbury
Waimate,-44.7320,171.0460,Canterbury
Mackenzie Basin,-44.2000,170.3000,Canterbury
Karamea,-41.2470,172.1120,West Coast
Westport,-41.7520,171.6030,West Coast
Reefton,-42.1170,171.8670,West Coast
Greymouth,-42.4500,171.2080,West Coast
Hokitika,-42.7170,170.9670,West Coast
Haast,-43.8800,169.0420,West Coast
Oamaru,-45.0970,170.9710,Otago
Palmerston,-45.4850,170.7140,Otago
Alexandra,-45.2490,169.3790,Otago
Cromwell,-45.0380,169.2000,Otago
Ranfurly,-45.1300,170.0960,Otago
Naseby,-45.0220,170.1440,Otago
Middlemarch,-45.5060,170.1230,Otago
Balclutha,-46.2380,169.7360,Otago
Milton,-46.1200,169.9600,Otago
Gore,-46.0990,168.9440,Southland
Lumsden,-45.7380,168.4490,Southland
Mossburn,-45.6700,168.2400,Southland
Te Anau,-45.4140,167.7180,Southland
Bluff,-46.6000,168.3330,Southland
Riverton,-46.3500,168.0170,Southland
Waipapa Point,-46.6600,168.8400,Southland
Oban Stewart Island,-46.9000,168.1300,Southland
Chatham Islands,-43.9500,-176.5500,Chatham Islands
